"read_counts","cepa","library"
120,"NC_010981.1","SRR12893564"
72,"NC_018267.1","SRR12893564"
83,"NZ_AP013028.1","SRR12893564"
103,"NZ_CP015510.2","SRR12893564"
116,"NZ_CP021120.1","SRR12893564"
638,"NZ_CP031221.1","SRR12893564"
88,"NZ_CP034333.1","SRR12893564"
97,"NZ_CP034334.1","SRR12893564"
97,"NZ_CP034335.1","SRR12893564"
106,"NZ_CP037426.1","SRR12893564"
113,"NZ_CP041215.1","SRR12893564"
802,"NZ_CP041923.1","SRR12893564"
788,"NZ_CP041924.1","SRR12893564"
121,"NZ_CP042444.1","SRR12893564"
121,"NZ_CP042445.1","SRR12893564"
121,"NZ_CP042446.1","SRR12893564"
108,"NZ_CP042904.1","SRR12893564"
77,"NZ_CP046577.1","SRR12893564"
68,"NZ_CP046578.1","SRR12893564"
65,"NZ_CP046579.1","SRR12893564"
256,"NZ_CP046580.1","SRR12893564"
121,"NZ_CP046921.1","SRR12893564"
121,"NZ_CP046922.1","SRR12893564"
121,"NZ_CP046923.1","SRR12893564"
121,"NZ_CP046924.1","SRR12893564"
121,"NZ_CP046925.1","SRR12893564"
181,"NZ_CP048818.1","SRR12893564"
182,"NZ_CP048819.1","SRR12893564"
180,"NZ_CP048820.1","SRR12893564"
89,"NZ_CP050521.1","SRR12893564"
110,"NZ_CP051156.1","SRR12893564"
95,"NZ_CP051157.1","SRR12893564"
191,"NZ_CP051264.2","SRR12893564"
191,"NZ_CP051265.2","SRR12893564"
176,"NZ_CP051266.2","SRR12893564"
191,"NZ_CP051608.1","SRR12893564"
125,"NZ_CP054557.1","SRR12893564"
114,"NZ_CP067976.1","SRR12893564"
121,"NZ_CP069052.1","SRR12893564"
122,"NZ_CP069053.1","SRR12893564"
97,"NZ_CP069054.1","SRR12893564"
121,"NZ_CP069055.1","SRR12893564"
122,"NZ_CP069060.1","SRR12893564"
125,"NZ_CP072012.1","SRR12893564"
121,"NZ_CP072666.1","SRR12893564"
121,"NZ_CP072667.1","SRR12893564"
121,"NZ_CP072668.1","SRR12893564"
121,"NZ_CP072669.1","SRR12893564"
121,"NZ_CP072670.1","SRR12893564"
121,"NZ_CP072671.1","SRR12893564"
121,"NZ_CP072672.1","SRR12893564"
144,"NZ_CP076228.1","SRR12893564"
638,"NZ_CP080546.1","SRR12893564"
92,"NZ_CP084693.1","SRR12893564"
106,"NZ_CP084694.1","SRR12893564"
112,"NZ_CP087954.1","SRR12893564"
121,"NZ_CP090948.1","SRR12893564"
110,"NZ_CP091195.1","SRR12893564"
140,"NZ_CP092368.1","SRR12893564"
123,"NZ_CP092526.1","SRR12893564"
112,"NZ_CP096925.1","SRR12893564"
112,"NZ_CP096926.1","SRR12893564"
94,"NZ_CP101657.1","SRR12893564"
556,"NZ_CP110359.1","SRR12893564"
72,"NZ_HG810405.1","SRR12893564"
193,"NZ_OW370537.1","SRR12893564"
140,"NZ_OW370567.1","SRR12893564"
114183,"NC_010981.1","SRR12893565"
8450,"NC_018267.1","SRR12893565"
42638,"NZ_AP013028.1","SRR12893565"
41583,"NZ_CP015510.2","SRR12893565"
119643,"NZ_CP021120.1","SRR12893565"
2791005,"NZ_CP031221.1","SRR12893565"
22951,"NZ_CP034333.1","SRR12893565"
101196,"NZ_CP034334.1","SRR12893565"
101196,"NZ_CP034335.1","SRR12893565"
51851,"NZ_CP037426.1","SRR12893565"
58085,"NZ_CP041215.1","SRR12893565"
2782957,"NZ_CP041923.1","SRR12893565"
2793112,"NZ_CP041924.1","SRR12893565"
46968,"NZ_CP042444.1","SRR12893565"
46964,"NZ_CP042445.1","SRR12893565"
46968,"NZ_CP042446.1","SRR12893565"
61698,"NZ_CP042904.1","SRR12893565"
30663,"NZ_CP046577.1","SRR12893565"
15088,"NZ_CP046578.1","SRR12893565"
9000,"NZ_CP046579.1","SRR12893565"
9507,"NZ_CP046580.1","SRR12893565"
47073,"NZ_CP046921.1","SRR12893565"
47073,"NZ_CP046922.1","SRR12893565"
46913,"NZ_CP046923.1","SRR12893565"
46953,"NZ_CP046924.1","SRR12893565"
46966,"NZ_CP046925.1","SRR12893565"
425122,"NZ_CP048818.1","SRR12893565"
425084,"NZ_CP048819.1","SRR12893565"
423031,"NZ_CP048820.1","SRR12893565"
22958,"NZ_CP050521.1","SRR12893565"
45204,"NZ_CP051156.1","SRR12893565"
54741,"NZ_CP051157.1","SRR12893565"
455599,"NZ_CP051264.2","SRR12893565"
455468,"NZ_CP051265.2","SRR12893565"
409427,"NZ_CP051266.2","SRR12893565"
455721,"NZ_CP051608.1","SRR12893565"
51414,"NZ_CP054557.1","SRR12893565"
100538,"NZ_CP067976.1","SRR12893565"
47880,"NZ_CP069052.1","SRR12893565"
48956,"NZ_CP069053.1","SRR12893565"
101197,"NZ_CP069054.1","SRR12893565"
46566,"NZ_CP069055.1","SRR12893565"
49250,"NZ_CP069060.1","SRR12893565"
51844,"NZ_CP072012.1","SRR12893565"
46966,"NZ_CP072666.1","SRR12893565"
46966,"NZ_CP072667.1","SRR12893565"
46966,"NZ_CP072668.1","SRR12893565"
46966,"NZ_CP072669.1","SRR12893565"
46966,"NZ_CP072670.1","SRR12893565"
46966,"NZ_CP072671.1","SRR12893565"
46966,"NZ_CP072672.1","SRR12893565"
46320,"NZ_CP076228.1","SRR12893565"
2791060,"NZ_CP080546.1","SRR12893565"
86364,"NZ_CP084693.1","SRR12893565"
100078,"NZ_CP084694.1","SRR12893565"
118509,"NZ_CP087954.1","SRR12893565"
46968,"NZ_CP090948.1","SRR12893565"
56697,"NZ_CP091195.1","SRR12893565"
9976,"NZ_CP092368.1","SRR12893565"
121073,"NZ_CP092526.1","SRR12893565"
101225,"NZ_CP096925.1","SRR12893565"
101222,"NZ_CP096926.1","SRR12893565"
52896,"NZ_CP101657.1","SRR12893565"
43004,"NZ_CP110359.1","SRR12893565"
8471,"NZ_HG810405.1","SRR12893565"
276361,"NZ_OW370537.1","SRR12893565"
92215,"NZ_OW370567.1","SRR12893565"
109595,"NC_010981.1","SRR12893566"
8512,"NC_018267.1","SRR12893566"
41607,"NZ_AP013028.1","SRR12893566"
40962,"NZ_CP015510.2","SRR12893566"
115065,"NZ_CP021120.1","SRR12893566"
2475326,"NZ_CP031221.1","SRR12893566"
22324,"NZ_CP034333.1","SRR12893566"
97992,"NZ_CP034334.1","SRR12893566"
97995,"NZ_CP034335.1","SRR12893566"
51196,"NZ_CP037426.1","SRR12893566"
57278,"NZ_CP041215.1","SRR12893566"
2466473,"NZ_CP041923.1","SRR12893566"
2477286,"NZ_CP041924.1","SRR12893566"
47100,"NZ_CP042444.1","SRR12893566"
47095,"NZ_CP042445.1","SRR12893566"
47100,"NZ_CP042446.1","SRR12893566"
59866,"NZ_CP042904.1","SRR12893566"
30665,"NZ_CP046577.1","SRR12893566"
14390,"NZ_CP046578.1","SRR12893566"
9323,"NZ_CP046579.1","SRR12893566"
8970,"NZ_CP046580.1","SRR12893566"
47192,"NZ_CP046921.1","SRR12893566"
47192,"NZ_CP046922.1","SRR12893566"
47040,"NZ_CP046923.1","SRR12893566"
47078,"NZ_CP046924.1","SRR12893566"
47100,"NZ_CP046925.1","SRR12893566"
379797,"NZ_CP048818.1","SRR12893566"
379168,"NZ_CP048819.1","SRR12893566"
378121,"NZ_CP048820.1","SRR12893566"
22332,"NZ_CP050521.1","SRR12893566"
44010,"NZ_CP051156.1","SRR12893566"
53058,"NZ_CP051157.1","SRR12893566"
405976,"NZ_CP051264.2","SRR12893566"
405869,"NZ_CP051265.2","SRR12893566"
365025,"NZ_CP051266.2","SRR12893566"
406110,"NZ_CP051608.1","SRR12893566"
50825,"NZ_CP054557.1","SRR12893566"
98280,"NZ_CP067976.1","SRR12893566"
47891,"NZ_CP069052.1","SRR12893566"
48882,"NZ_CP069053.1","SRR12893566"
97995,"NZ_CP069054.1","SRR12893566"
46643,"NZ_CP069055.1","SRR12893566"
49115,"NZ_CP069060.1","SRR12893566"
51461,"NZ_CP072012.1","SRR12893566"
47100,"NZ_CP072666.1","SRR12893566"
47100,"NZ_CP072667.1","SRR12893566"
47100,"NZ_CP072668.1","SRR12893566"
47100,"NZ_CP072669.1","SRR12893566"
47100,"NZ_CP072670.1","SRR12893566"
47100,"NZ_CP072671.1","SRR12893566"
47100,"NZ_CP072672.1","SRR12893566"
46417,"NZ_CP076228.1","SRR12893566"
2475354,"NZ_CP080546.1","SRR12893566"
84552,"NZ_CP084693.1","SRR12893566"
97042,"NZ_CP084694.1","SRR12893566"
114425,"NZ_CP087954.1","SRR12893566"
47100,"NZ_CP090948.1","SRR12893566"
55357,"NZ_CP091195.1","SRR12893566"
9796,"NZ_CP092368.1","SRR12893566"
116536,"NZ_CP092526.1","SRR12893566"
98405,"NZ_CP096925.1","SRR12893566"
98421,"NZ_CP096926.1","SRR12893566"
51576,"NZ_CP101657.1","SRR12893566"
42632,"NZ_CP110359.1","SRR12893566"
8526,"NZ_HG810405.1","SRR12893566"
244565,"NZ_OW370537.1","SRR12893566"
89145,"NZ_OW370567.1","SRR12893566"
101467,"NC_010981.1","SRR12893567"
7109,"NC_018267.1","SRR12893567"
33796,"NZ_AP013028.1","SRR12893567"
33876,"NZ_CP015510.2","SRR12893567"
106534,"NZ_CP021120.1","SRR12893567"
2768161,"NZ_CP031221.1","SRR12893567"
18064,"NZ_CP034333.1","SRR12893567"
90613,"NZ_CP034334.1","SRR12893567"
90613,"NZ_CP034335.1","SRR12893567"
41277,"NZ_CP037426.1","SRR12893567"
47271,"NZ_CP041215.1","SRR12893567"
2764161,"NZ_CP041923.1","SRR12893567"
2771965,"NZ_CP041924.1","SRR12893567"
37774,"NZ_CP042444.1","SRR12893567"
37767,"NZ_CP042445.1","SRR12893567"
37774,"NZ_CP042446.1","SRR12893567"
51570,"NZ_CP042904.1","SRR12893567"
20743,"NZ_CP046577.1","SRR12893567"
10959,"NZ_CP046578.1","SRR12893567"
7137,"NZ_CP046579.1","SRR12893567"
8187,"NZ_CP046580.1","SRR12893567"
37963,"NZ_CP046921.1","SRR12893567"
37962,"NZ_CP046922.1","SRR12893567"
37706,"NZ_CP046923.1","SRR12893567"
37770,"NZ_CP046924.1","SRR12893567"
37774,"NZ_CP046925.1","SRR12893567"
401470,"NZ_CP048818.1","SRR12893567"
401252,"NZ_CP048819.1","SRR12893567"
398494,"NZ_CP048820.1","SRR12893567"
18045,"NZ_CP050521.1","SRR12893567"
35887,"NZ_CP051156.1","SRR12893567"
48649,"NZ_CP051157.1","SRR12893567"
431082,"NZ_CP051264.2","SRR12893567"
430992,"NZ_CP051265.2","SRR12893567"
385853,"NZ_CP051266.2","SRR12893567"
431173,"NZ_CP051608.1","SRR12893567"
40589,"NZ_CP054557.1","SRR12893567"
89759,"NZ_CP067976.1","SRR12893567"
38559,"NZ_CP069052.1","SRR12893567"
39727,"NZ_CP069053.1","SRR12893567"
90614,"NZ_CP069054.1","SRR12893567"
37081,"NZ_CP069055.1","SRR12893567"
39865,"NZ_CP069060.1","SRR12893567"
42941,"NZ_CP072012.1","SRR12893567"
37774,"NZ_CP072666.1","SRR12893567"
37774,"NZ_CP072667.1","SRR12893567"
37774,"NZ_CP072668.1","SRR12893567"
37774,"NZ_CP072669.1","SRR12893567"
37774,"NZ_CP072670.1","SRR12893567"
37774,"NZ_CP072671.1","SRR12893567"
37774,"NZ_CP072672.1","SRR12893567"
37054,"NZ_CP076228.1","SRR12893567"
2768199,"NZ_CP080546.1","SRR12893567"
74979,"NZ_CP084693.1","SRR12893567"
88731,"NZ_CP084694.1","SRR12893567"
106507,"NZ_CP087954.1","SRR12893567"
37773,"NZ_CP090948.1","SRR12893567"
45877,"NZ_CP091195.1","SRR12893567"
8056,"NZ_CP092368.1","SRR12893567"
108318,"NZ_CP092526.1","SRR12893567"
89519,"NZ_CP096925.1","SRR12893567"
89523,"NZ_CP096926.1","SRR12893567"
42296,"NZ_CP101657.1","SRR12893567"
33964,"NZ_CP110359.1","SRR12893567"
7124,"NZ_HG810405.1","SRR12893567"
272731,"NZ_OW370537.1","SRR12893567"
86077,"NZ_OW370567.1","SRR12893567"
129694,"NC_010981.1","SRR12893568"
10594,"NC_018267.1","SRR12893568"
40658,"NZ_AP013028.1","SRR12893568"
44900,"NZ_CP015510.2","SRR12893568"
138834,"NZ_CP021120.1","SRR12893568"
2985830,"NZ_CP031221.1","SRR12893568"
25777,"NZ_CP034333.1","SRR12893568"
116982,"NZ_CP034334.1","SRR12893568"
116985,"NZ_CP034335.1","SRR12893568"
54843,"NZ_CP037426.1","SRR12893568"
60143,"NZ_CP041215.1","SRR12893568"
2984903,"NZ_CP041923.1","SRR12893568"
2995420,"NZ_CP041924.1","SRR12893568"
50838,"NZ_CP042444.1","SRR12893568"
50824,"NZ_CP042445.1","SRR12893568"
50839,"NZ_CP042446.1","SRR12893568"
64919,"NZ_CP042904.1","SRR12893568"
27900,"NZ_CP046577.1","SRR12893568"
16493,"NZ_CP046578.1","SRR12893568"
10276,"NZ_CP046579.1","SRR12893568"
11831,"NZ_CP046580.1","SRR12893568"
51144,"NZ_CP046921.1","SRR12893568"
51142,"NZ_CP046922.1","SRR12893568"
50714,"NZ_CP046923.1","SRR12893568"
50821,"NZ_CP046924.1","SRR12893568"
50837,"NZ_CP046925.1","SRR12893568"
466686,"NZ_CP048818.1","SRR12893568"
462098,"NZ_CP048819.1","SRR12893568"
461433,"NZ_CP048820.1","SRR12893568"
25775,"NZ_CP050521.1","SRR12893568"
42129,"NZ_CP051156.1","SRR12893568"
56383,"NZ_CP051157.1","SRR12893568"
494478,"NZ_CP051264.2","SRR12893568"
494354,"NZ_CP051265.2","SRR12893568"
443438,"NZ_CP051266.2","SRR12893568"
494678,"NZ_CP051608.1","SRR12893568"
54652,"NZ_CP054557.1","SRR12893568"
121533,"NZ_CP067976.1","SRR12893568"
52149,"NZ_CP069052.1","SRR12893568"
54017,"NZ_CP069053.1","SRR12893568"
116986,"NZ_CP069054.1","SRR12893568"
49000,"NZ_CP069055.1","SRR12893568"
54229,"NZ_CP069060.1","SRR12893568"
55876,"NZ_CP072012.1","SRR12893568"
50837,"NZ_CP072666.1","SRR12893568"
50837,"NZ_CP072667.1","SRR12893568"
50837,"NZ_CP072668.1","SRR12893568"
50837,"NZ_CP072669.1","SRR12893568"
50837,"NZ_CP072670.1","SRR12893568"
50837,"NZ_CP072671.1","SRR12893568"
50837,"NZ_CP072672.1","SRR12893568"
48598,"NZ_CP076228.1","SRR12893568"
2985847,"NZ_CP080546.1","SRR12893568"
101122,"NZ_CP084693.1","SRR12893568"
116142,"NZ_CP084694.1","SRR12893568"
136045,"NZ_CP087954.1","SRR12893568"
50838,"NZ_CP090948.1","SRR12893568"
57305,"NZ_CP091195.1","SRR12893568"
11758,"NZ_CP092368.1","SRR12893568"
137710,"NZ_CP092526.1","SRR12893568"
120755,"NZ_CP096925.1","SRR12893568"
120795,"NZ_CP096926.1","SRR12893568"
51485,"NZ_CP101657.1","SRR12893568"
45386,"NZ_CP110359.1","SRR12893568"
10613,"NZ_HG810405.1","SRR12893568"
327905,"NZ_OW370537.1","SRR12893568"
114436,"NZ_OW370567.1","SRR12893568"
97241,"NC_010981.1","SRR12893569"
9185,"NC_018267.1","SRR12893569"
39123,"NZ_AP013028.1","SRR12893569"
43056,"NZ_CP015510.2","SRR12893569"
101779,"NZ_CP021120.1","SRR12893569"
1560278,"NZ_CP031221.1","SRR12893569"
24609,"NZ_CP034333.1","SRR12893569"
87615,"NZ_CP034334.1","SRR12893569"
87616,"NZ_CP034335.1","SRR12893569"
53618,"NZ_CP037426.1","SRR12893569"
56951,"NZ_CP041215.1","SRR12893569"
1550626,"NZ_CP041923.1","SRR12893569"
1563353,"NZ_CP041924.1","SRR12893569"
49130,"NZ_CP042444.1","SRR12893569"
49125,"NZ_CP042445.1","SRR12893569"
49130,"NZ_CP042446.1","SRR12893569"
58519,"NZ_CP042904.1","SRR12893569"
34307,"NZ_CP046577.1","SRR12893569"
15600,"NZ_CP046578.1","SRR12893569"
10310,"NZ_CP046579.1","SRR12893569"
8116,"NZ_CP046580.1","SRR12893569"
49279,"NZ_CP046921.1","SRR12893569"
49278,"NZ_CP046922.1","SRR12893569"
49074,"NZ_CP046923.1","SRR12893569"
49125,"NZ_CP046924.1","SRR12893569"
49130,"NZ_CP046925.1","SRR12893569"
272613,"NZ_CP048818.1","SRR12893569"
269761,"NZ_CP048819.1","SRR12893569"
271241,"NZ_CP048820.1","SRR12893569"
24610,"NZ_CP050521.1","SRR12893569"
43279,"NZ_CP051156.1","SRR12893569"
50423,"NZ_CP051157.1","SRR12893569"
286088,"NZ_CP051264.2","SRR12893569"
285976,"NZ_CP051265.2","SRR12893569"
259511,"NZ_CP051266.2","SRR12893569"
286225,"NZ_CP051608.1","SRR12893569"
53614,"NZ_CP054557.1","SRR12893569"
90607,"NZ_CP067976.1","SRR12893569"
50026,"NZ_CP069052.1","SRR12893569"
51095,"NZ_CP069053.1","SRR12893569"
87616,"NZ_CP069054.1","SRR12893569"
48433,"NZ_CP069055.1","SRR12893569"
51319,"NZ_CP069060.1","SRR12893569"
52128,"NZ_CP072012.1","SRR12893569"
49130,"NZ_CP072666.1","SRR12893569"
49130,"NZ_CP072667.1","SRR12893569"
49130,"NZ_CP072668.1","SRR12893569"
49130,"NZ_CP072669.1","SRR12893569"
49130,"NZ_CP072670.1","SRR12893569"
49130,"NZ_CP072671.1","SRR12893569"
49130,"NZ_CP072672.1","SRR12893569"
48083,"NZ_CP076228.1","SRR12893569"
1560297,"NZ_CP080546.1","SRR12893569"
79230,"NZ_CP084693.1","SRR12893569"
87582,"NZ_CP084694.1","SRR12893569"
101906,"NZ_CP087954.1","SRR12893569"
49128,"NZ_CP090948.1","SRR12893569"
56358,"NZ_CP091195.1","SRR12893569"
