"read_counts","cepa","library"
223,"NZ_CP096926.1","SRR12893575"
242,"NZ_CP101657.1","SRR12893575"
814,"NZ_CP110359.1","SRR12893575"
207,"NZ_HG810405.1","SRR12893575"
439,"NZ_OW370537.1","SRR12893575"
456,"NZ_OW370567.1","SRR12893575"
340,"NC_010981.1","SRR12893576"
267,"NC_018267.1","SRR12893576"
286,"NZ_AP013028.1","SRR12893576"
319,"NZ_CP015510.2","SRR12893576"
330,"NZ_CP021120.1","SRR12893576"
976,"NZ_CP031221.1","SRR12893576"
323,"NZ_CP034333.1","SRR12893576"
324,"NZ_CP034334.1","SRR12893576"
324,"NZ_CP034335.1","SRR12893576"
349,"NZ_CP037426.1","SRR12893576"
344,"NZ_CP041215.1","SRR12893576"
1853,"NZ_CP041923.1","SRR12893576"
1751,"NZ_CP041924.1","SRR12893576"
362,"NZ_CP042444.1","SRR12893576"
362,"NZ_CP042445.1","SRR12893576"
362,"NZ_CP042446.1","SRR12893576"
343,"NZ_CP042904.1","SRR12893576"
271,"NZ_CP046577.1","SRR12893576"
276,"NZ_CP046578.1","SRR12893576"
262,"NZ_CP046579.1","SRR12893576"
1314,"NZ_CP046580.1","SRR12893576"
362,"NZ_CP046921.1","SRR12893576"
362,"NZ_CP046922.1","SRR12893576"
362,"NZ_CP046923.1","SRR12893576"
362,"NZ_CP046924.1","SRR12893576"
362,"NZ_CP046925.1","SRR12893576"
375,"NZ_CP048818.1","SRR12893576"
377,"NZ_CP048819.1","SRR12893576"
377,"NZ_CP048820.1","SRR12893576"
311,"NZ_CP050521.1","SRR12893576"
416,"NZ_CP051156.1","SRR12893576"
304,"NZ_CP051157.1","SRR12893576"
398,"NZ_CP051264.2","SRR12893576"
399,"NZ_CP051265.2","SRR12893576"
374,"NZ_CP051266.2","SRR12893576"
401,"NZ_CP051608.1","SRR12893576"
366,"NZ_CP054557.1","SRR12893576"
323,"NZ_CP067976.1","SRR12893576"
363,"NZ_CP069052.1","SRR12893576"
365,"NZ_CP069053.1","SRR12893576"
324,"NZ_CP069054.1","SRR12893576"
362,"NZ_CP069055.1","SRR12893576"
365,"NZ_CP069060.1","SRR12893576"
374,"NZ_CP072012.1","SRR12893576"
362,"NZ_CP072666.1","SRR12893576"
362,"NZ_CP072667.1","SRR12893576"
362,"NZ_CP072668.1","SRR12893576"
362,"NZ_CP072669.1","SRR12893576"
362,"NZ_CP072670.1","SRR12893576"
362,"NZ_CP072671.1","SRR12893576"
362,"NZ_CP072672.1","SRR12893576"
420,"NZ_CP076228.1","SRR12893576"
976,"NZ_CP080546.1","SRR12893576"
310,"NZ_CP084693.1","SRR12893576"
325,"NZ_CP084694.1","SRR12893576"
344,"NZ_CP087954.1","SRR12893576"
362,"NZ_CP090948.1","SRR12893576"
365,"NZ_CP091195.1","SRR12893576"
401,"NZ_CP092368.1","SRR12893576"
338,"NZ_CP092526.1","SRR12893576"
329,"NZ_CP096925.1","SRR12893576"
329,"NZ_CP096926.1","SRR12893576"
307,"NZ_CP101657.1","SRR12893576"
843,"NZ_CP110359.1","SRR12893576"
266,"NZ_HG810405.1","SRR12893576"
388,"NZ_OW370537.1","SRR12893576"
440,"NZ_OW370567.1","SRR12893576"
315,"NC_010981.1","SRR12893577"
295,"NC_018267.1","SRR12893577"
286,"NZ_AP013028.1","SRR12893577"
322,"NZ_CP015510.2","SRR12893577"
311,"NZ_CP021120.1","SRR12893577"
1055,"NZ_CP031221.1","SRR12893577"
306,"NZ_CP034333.1","SRR12893577"
297,"NZ_CP034334.1","SRR12893577"
297,"NZ_CP034335.1","SRR12893577"
368,"NZ_CP037426.1","SRR12893577"
371,"NZ_CP041215.1","SRR12893577"
2904,"NZ_CP041923.1","SRR12893577"
2746,"NZ_CP041924.1","SRR12893577"
362,"NZ_CP042444.1","SRR12893577"
362,"NZ_CP042445.1","SRR12893577"
362,"NZ_CP042446.1","SRR12893577"
370,"NZ_CP042904.1","SRR12893577"
285,"NZ_CP046577.1","SRR12893577"
297,"NZ_CP046578.1","SRR12893577"
277,"NZ_CP046579.1","SRR12893577"
960,"NZ_CP046580.1","SRR12893577"
362,"NZ_CP046921.1","SRR12893577"
362,"NZ_CP046922.1","SRR12893577"
362,"NZ_CP046923.1","SRR12893577"
362,"NZ_CP046924.1","SRR12893577"
362,"NZ_CP046925.1","SRR12893577"
380,"NZ_CP048818.1","SRR12893577"
401,"NZ_CP048819.1","SRR12893577"
379,"NZ_CP048820.1","SRR12893577"
299,"NZ_CP050521.1","SRR12893577"
409,"NZ_CP051156.1","SRR12893577"
303,"NZ_CP051157.1","SRR12893577"
384,"NZ_CP051264.2","SRR12893577"
384,"NZ_CP051265.2","SRR12893577"
375,"NZ_CP051266.2","SRR12893577"
388,"NZ_CP051608.1","SRR12893577"
369,"NZ_CP054557.1","SRR12893577"
307,"NZ_CP067976.1","SRR12893577"
366,"NZ_CP069052.1","SRR12893577"
368,"NZ_CP069053.1","SRR12893577"
297,"NZ_CP069054.1","SRR12893577"
362,"NZ_CP069055.1","SRR12893577"
368,"NZ_CP069060.1","SRR12893577"
381,"NZ_CP072012.1","SRR12893577"
362,"NZ_CP072666.1","SRR12893577"
362,"NZ_CP072667.1","SRR12893577"
362,"NZ_CP072668.1","SRR12893577"
362,"NZ_CP072669.1","SRR12893577"
362,"NZ_CP072670.1","SRR12893577"
362,"NZ_CP072671.1","SRR12893577"
362,"NZ_CP072672.1","SRR12893577"
435,"NZ_CP076228.1","SRR12893577"
1055,"NZ_CP080546.1","SRR12893577"
287,"NZ_CP084693.1","SRR12893577"
302,"NZ_CP084694.1","SRR12893577"
320,"NZ_CP087954.1","SRR12893577"
362,"NZ_CP090948.1","SRR12893577"
373,"NZ_CP091195.1","SRR12893577"
359,"NZ_CP092368.1","SRR12893577"
313,"NZ_CP092526.1","SRR12893577"
304,"NZ_CP096925.1","SRR12893577"
304,"NZ_CP096926.1","SRR12893577"
308,"NZ_CP101657.1","SRR12893577"
821,"NZ_CP110359.1","SRR12893577"
296,"NZ_HG810405.1","SRR12893577"
357,"NZ_OW370537.1","SRR12893577"
446,"NZ_OW370567.1","SRR12893577"
121,"NC_010981.1","SRR12893578"
82,"NC_018267.1","SRR12893578"
80,"NZ_AP013028.1","SRR12893578"
97,"NZ_CP015510.2","SRR12893578"
118,"NZ_CP021120.1","SRR12893578"
580,"NZ_CP031221.1","SRR12893578"
86,"NZ_CP034333.1","SRR12893578"
112,"NZ_CP034334.1","SRR12893578"
112,"NZ_CP034335.1","SRR12893578"
120,"NZ_CP037426.1","SRR12893578"
128,"NZ_CP041215.1","SRR12893578"
692,"NZ_CP041923.1","SRR12893578"
671,"NZ_CP041924.1","SRR12893578"
130,"NZ_CP042444.1","SRR12893578"
130,"NZ_CP042445.1","SRR12893578"
130,"NZ_CP042446.1","SRR12893578"
121,"NZ_CP042904.1","SRR12893578"
75,"NZ_CP046577.1","SRR12893578"
65,"NZ_CP046578.1","SRR12893578"
70,"NZ_CP046579.1","SRR12893578"
382,"NZ_CP046580.1","SRR12893578"
130,"NZ_CP046921.1","SRR12893578"
130,"NZ_CP046922.1","SRR12893578"
130,"NZ_CP046923.1","SRR12893578"
130,"NZ_CP046924.1","SRR12893578"
130,"NZ_CP046925.1","SRR12893578"
173,"NZ_CP048818.1","SRR12893578"
173,"NZ_CP048819.1","SRR12893578"
174,"NZ_CP048820.1","SRR12893578"
81,"NZ_CP050521.1","SRR12893578"
136,"NZ_CP051156.1","SRR12893578"
90,"NZ_CP051157.1","SRR12893578"
185,"NZ_CP051264.2","SRR12893578"
185,"NZ_CP051265.2","SRR12893578"
171,"NZ_CP051266.2","SRR12893578"
187,"NZ_CP051608.1","SRR12893578"
134,"NZ_CP054557.1","SRR12893578"
118,"NZ_CP067976.1","SRR12893578"
130,"NZ_CP069052.1","SRR12893578"
130,"NZ_CP069053.1","SRR12893578"
112,"NZ_CP069054.1","SRR12893578"
130,"NZ_CP069055.1","SRR12893578"
130,"NZ_CP069060.1","SRR12893578"
136,"NZ_CP072012.1","SRR12893578"
130,"NZ_CP072666.1","SRR12893578"
130,"NZ_CP072667.1","SRR12893578"
130,"NZ_CP072668.1","SRR12893578"
130,"NZ_CP072669.1","SRR12893578"
130,"NZ_CP072670.1","SRR12893578"
130,"NZ_CP072671.1","SRR12893578"
130,"NZ_CP072672.1","SRR12893578"
143,"NZ_CP076228.1","SRR12893578"
580,"NZ_CP080546.1","SRR12893578"
94,"NZ_CP084693.1","SRR12893578"
121,"NZ_CP084694.1","SRR12893578"
126,"NZ_CP087954.1","SRR12893578"
130,"NZ_CP090948.1","SRR12893578"
120,"NZ_CP091195.1","SRR12893578"
148,"NZ_CP092368.1","SRR12893578"
119,"NZ_CP092526.1","SRR12893578"
116,"NZ_CP096925.1","SRR12893578"
116,"NZ_CP096926.1","SRR12893578"
96,"NZ_CP101657.1","SRR12893578"
329,"NZ_CP110359.1","SRR12893578"
85,"NZ_HG810405.1","SRR12893578"
115,"NZ_OW370537.1","SRR12893578"
162,"NZ_OW370567.1","SRR12893578"
109,"NC_010981.1","SRR12893579"
58,"NC_018267.1","SRR12893579"
77,"NZ_AP013028.1","SRR12893579"
86,"NZ_CP015510.2","SRR12893579"
103,"NZ_CP021120.1","SRR12893579"
1012,"NZ_CP031221.1","SRR12893579"
93,"NZ_CP034333.1","SRR12893579"
113,"NZ_CP034334.1","SRR12893579"
113,"NZ_CP034335.1","SRR12893579"
162,"NZ_CP037426.1","SRR12893579"
166,"NZ_CP041215.1","SRR12893579"
1073,"NZ_CP041923.1","SRR12893579"
1094,"NZ_CP041924.1","SRR12893579"
172,"NZ_CP042444.1","SRR12893579"
172,"NZ_CP042445.1","SRR12893579"
172,"NZ_CP042446.1","SRR12893579"
166,"NZ_CP042904.1","SRR12893579"
70,"NZ_CP046577.1","SRR12893579"
65,"NZ_CP046578.1","SRR12893579"
53,"NZ_CP046579.1","SRR12893579"
544,"NZ_CP046580.1","SRR12893579"
172,"NZ_CP046921.1","SRR12893579"
172,"NZ_CP046922.1","SRR12893579"
172,"NZ_CP046923.1","SRR12893579"
172,"NZ_CP046924.1","SRR12893579"
172,"NZ_CP046925.1","SRR12893579"
205,"NZ_CP048818.1","SRR12893579"
204,"NZ_CP048819.1","SRR12893579"
202,"NZ_CP048820.1","SRR12893579"
85,"NZ_CP050521.1","SRR12893579"
128,"NZ_CP051156.1","SRR12893579"
89,"NZ_CP051157.1","SRR12893579"
214,"NZ_CP051264.2","SRR12893579"
214,"NZ_CP051265.2","SRR12893579"
198,"NZ_CP051266.2","SRR12893579"
214,"NZ_CP051608.1","SRR12893579"
171,"NZ_CP054557.1","SRR12893579"
99,"NZ_CP067976.1","SRR12893579"
175,"NZ_CP069052.1","SRR12893579"
176,"NZ_CP069053.1","SRR12893579"
111,"NZ_CP069054.1","SRR12893579"
172,"NZ_CP069055.1","SRR12893579"
176,"NZ_CP069060.1","SRR12893579"
182,"NZ_CP072012.1","SRR12893579"
172,"NZ_CP072666.1","SRR12893579"
172,"NZ_CP072667.1","SRR12893579"
172,"NZ_CP072668.1","SRR12893579"
172,"NZ_CP072669.1","SRR12893579"
172,"NZ_CP072670.1","SRR12893579"
172,"NZ_CP072671.1","SRR12893579"
172,"NZ_CP072672.1","SRR12893579"
178,"NZ_CP076228.1","SRR12893579"
1012,"NZ_CP080546.1","SRR12893579"
87,"NZ_CP084693.1","SRR12893579"
99,"NZ_CP084694.1","SRR12893579"
114,"NZ_CP087954.1","SRR12893579"
172,"NZ_CP090948.1","SRR12893579"
163,"NZ_CP091195.1","SRR12893579"
235,"NZ_CP092368.1","SRR12893579"
102,"NZ_CP092526.1","SRR12893579"
91,"NZ_CP096925.1","SRR12893579"
91,"NZ_CP096926.1","SRR12893579"
87,"NZ_CP101657.1","SRR12893579"
697,"NZ_CP110359.1","SRR12893579"
65,"NZ_HG810405.1","SRR12893579"
143,"NZ_OW370537.1","SRR12893579"
243,"NZ_OW370567.1","SRR12893579"
97697,"NC_010981.1","SRR12893580"
6137,"NC_018267.1","SRR12893580"
24507,"NZ_AP013028.1","SRR12893580"
27549,"NZ_CP015510.2","SRR12893580"
105688,"NZ_CP021120.1","SRR12893580"
2164494,"NZ_CP031221.1","SRR12893580"
14389,"NZ_CP034333.1","SRR12893580"
88081,"NZ_CP034334.1","SRR12893580"
88083,"NZ_CP034335.1","SRR12893580"
35038,"NZ_CP037426.1","SRR12893580"
39412,"NZ_CP041215.1","SRR12893580"
2162681,"NZ_CP041923.1","SRR12893580"
2168079,"NZ_CP041924.1","SRR12893580"
31847,"NZ_CP042444.1","SRR12893580"
31838,"NZ_CP042445.1","SRR12893580"
31849,"NZ_CP042446.1","SRR12893580"
41419,"NZ_CP042904.1","SRR12893580"
16928,"NZ_CP046577.1","SRR12893580"
10191,"NZ_CP046578.1","SRR12893580"
5482,"NZ_CP046579.1","SRR12893580"
6588,"NZ_CP046580.1","SRR12893580"
32200,"NZ_CP046921.1","SRR12893580"
32198,"NZ_CP046922.1","SRR12893580"
31734,"NZ_CP046923.1","SRR12893580"
31850,"NZ_CP046924.1","SRR12893580"
31849,"NZ_CP046925.1","SRR12893580"
353100,"NZ_CP048818.1","SRR12893580"
349312,"NZ_CP048819.1","SRR12893580"
348205,"NZ_CP048820.1","SRR12893580"
14341,"NZ_CP050521.1","SRR12893580"
25412,"NZ_CP051156.1","SRR12893580"
33710,"NZ_CP051157.1","SRR12893580"
371041,"NZ_CP051264.2","SRR12893580"
370938,"NZ_CP051265.2","SRR12893580"
334648,"NZ_CP051266.2","SRR12893580"
371162,"NZ_CP051608.1","SRR12893580"
34210,"NZ_CP054557.1","SRR12893580"
94274,"NZ_CP067976.1","SRR12893580"
33397,"NZ_CP069052.1","SRR12893580"
35195,"NZ_CP069053.1","SRR12893580"
88082,"NZ_CP069054.1","SRR12893580"
29825,"NZ_CP069055.1","SRR12893580"
35553,"NZ_CP069060.1","SRR12893580"
35741,"NZ_CP072012.1","SRR12893580"
31849,"NZ_CP072666.1","SRR12893580"
31849,"NZ_CP072667.1","SRR12893580"
31849,"NZ_CP072668.1","SRR12893580"
31849,"NZ_CP072669.1","SRR12893580"
31849,"NZ_CP072670.1","SRR12893580"
31849,"NZ_CP072671.1","SRR12893580"
31849,"NZ_CP072672.1","SRR12893580"
28854,"NZ_CP076228.1","SRR12893580"
2164522,"NZ_CP080546.1","SRR12893580"
77477,"NZ_CP084693.1","SRR12893580"
88376,"NZ_CP084694.1","SRR12893580"
103496,"NZ_CP087954.1","SRR12893580"
31848,"NZ_CP090948.1","SRR12893580"
35456,"NZ_CP091195.1","SRR12893580"
5838,"NZ_CP092368.1","SRR12893580"
104213,"NZ_CP092526.1","SRR12893580"
92883,"NZ_CP096925.1","SRR12893580"
92961,"NZ_CP096926.1","SRR12893580"
36435,"NZ_CP101657.1","SRR12893580"
27548,"NZ_CP110359.1","SRR12893580"
6137,"NZ_HG810405.1","SRR12893580"
245797,"NZ_OW370537.1","SRR12893580"
81928,"NZ_OW370567.1","SRR12893580"
112157,"NC_010981.1","SRR12893581"
7024,"NC_018267.1","SRR12893581"
29705,"NZ_AP013028.1","SRR12893581"
32483,"NZ_CP015510.2","SRR12893581"
120946,"NZ_CP021120.1","SRR12893581"
2336752,"NZ_CP031221.1","SRR12893581"
17705,"NZ_CP034333.1","SRR12893581"
101526,"NZ_CP034334.1","SRR12893581"
101527,"NZ_CP034335.1","SRR12893581"
41713,"NZ_CP037426.1","SRR12893581"
46330,"NZ_CP041215.1","SRR12893581"
2332913,"NZ_CP041923.1","SRR12893581"
2339267,"NZ_CP041924.1","SRR12893581"
37805,"NZ_CP042444.1","SRR12893581"
37807,"NZ_CP042445.1","SRR12893581"
37810,"NZ_CP042446.1","SRR12893581"
48793,"NZ_CP042904.1","SRR12893581"
21271,"NZ_CP046577.1","SRR12893581"
12496,"NZ_CP046578.1","SRR12893581"
6558,"NZ_CP046579.1","SRR12893581"
7660,"NZ_CP046580.1","SRR12893581"
38236,"NZ_CP046921.1","SRR12893581"
38236,"NZ_CP046922.1","SRR12893581"
37656,"NZ_CP046923.1","SRR12893581"
37801,"NZ_CP046924.1","SRR12893581"
37808,"NZ_CP046925.1","SRR12893581"
381981,"NZ_CP048818.1","SRR12893581"
378105,"NZ_CP048819.1","SRR12893581"
376862,"NZ_CP048820.1","SRR12893581"
17652,"NZ_CP050521.1","SRR12893581"
30220,"NZ_CP051156.1","SRR12893581"
40010,"NZ_CP051157.1","SRR12893581"
401962,"NZ_CP051264.2","SRR12893581"
401807,"NZ_CP051265.2","SRR12893581"
362477,"NZ_CP051266.2","SRR12893581"
402150,"NZ_CP051608.1","SRR12893581"
40973,"NZ_CP054557.1","SRR12893581"
107969,"NZ_CP067976.1","SRR12893581"
39371,"NZ_CP069052.1","SRR12893581"
41379,"NZ_CP069053.1","SRR12893581"
101527,"NZ_CP069054.1","SRR12893581"
35576,"NZ_CP069055.1","SRR12893581"
41671,"NZ_CP069060.1","SRR12893581"
42147,"NZ_CP072012.1","SRR12893581"
37808,"NZ_CP072666.1","SRR12893581"
37808,"NZ_CP072667.1","SRR12893581"
37808,"NZ_CP072668.1","SRR12893581"
37808,"NZ_CP072669.1","SRR12893581"
37808,"NZ_CP072670.1","SRR12893581"
37808,"NZ_CP072671.1","SRR12893581"
37808,"NZ_CP072672.1","SRR12893581"
34559,"NZ_CP076228.1","SRR12893581"
2336775,"NZ_CP080546.1","SRR12893581"
89173,"NZ_CP084693.1","SRR12893581"
101817,"NZ_CP084694.1","SRR12893581"
118562,"NZ_CP087954.1","SRR12893581"
37809,"NZ_CP090948.1","SRR12893581"
42709,"NZ_CP091195.1","SRR12893581"
7228,"NZ_CP092368.1","SRR12893581"
119414,"NZ_CP092526.1","SRR12893581"
106597,"NZ_CP096925.1","SRR12893581"
106668,"NZ_CP096926.1","SRR12893581"
42716,"NZ_CP101657.1","SRR12893581"
32594,"NZ_CP110359.1","SRR12893581"
7044,"NZ_HG810405.1","SRR12893581"
259103,"NZ_OW370537.1","SRR12893581"
89861,"NZ_OW370567.1","SRR12893581"
